NOME DO PRODUTO;REFERENCIA_QUANTIDADE DE FOTOS DESSA REFERENCIA;DETALHES;VALOR;DETALHE 2; 
T-POLO-WORKY;00SEFP0HAXR-129_3;SEASONAL - WORKEA-RR ARMY OF LIFE ;R$ 555,00;; 
T-POLO-WORKY;00SEFP0HAXR-900_1;SEASONAL - WORKEA-RR ARMY OF LIFE ;R$ 555,00;JACQUARD PATCH; 
T-RENDY;00SGRY0QAZU-129;SEASONAL - WORKEA-RR ARMY OF LIFE ;R$ 595,00;; 
T-MARK-S1;00SGSV0TAXK-9XX_2;SEASONAL - VISUAL EYES OPTICAL ILLUSION;R$ 595,00;; 
T-RANDY-NEW;00SW7C0MXZA-100_2;CARRY OVER - INSTITUTIONAL LOGO;R$ 395,00;; 
T-RANDY-NEW;00SW7C0MXZA-100_2;CARRY OVER - INSTITUTIONAL LOGO;R$ 395,00;; 
T-RANDY-NEW;00SW7C0MXZA-900_2;CARRY OVER - INSTITUTIONAL LOGO;R$ 395,00;EMBROIDERY + PLASTISOL LOGO PRINT; 
T-RANDY-NEW;00SW7C0MXZA-900B_1;CARRY OVER - INSTITUTIONAL LOGO;R$ 395,00;EMBROIDERY + PLASTISOL LOGO PRINT; 
T-WEET-DIV;00SY860BAWH-5IK;CARRY OVER - INSTITUTIONAL LOGO;R$ 425,00;; 
T-WEET-DIV;00SY860BAWH-8II_1;CARRY OVER - INSTITUTIONAL LOGO;R$ 425,00;LIOCEL; 
CATEGORIA;CAMISAS_MALE;DETALHE 1;#N/D;LINHO; 
S-CLES;00SA0K0QAYT-100A_2;SEASONAL - VISUAL EYES OPTICAL ILLUSION;R$ 795,00;LINHO; 
S-KIMURA-B;00SEBT0EAVG-129;CARRY OVER - INSTITUTIONAL LOGO;R$ 795,00;LINHO; 
S-KIMURA-B;00SEBT0EAVG-23F_3;CARRY OVER - INSTITUTIONAL LOGO;R$ 795,00;LINHO; 
S-KIMURA-B;00SEBT0EAVG-9XX;CARRY OVER - INSTITUTIONAL LOGO;R$ 795,00;LINHO; 
S-PLAN-B;00SGNS0EAVG-129_2;CARRY OVER - INSTITUTIONAL LOGO MOHICAN;R$ 895,00;ALGODÃO; 
S-PLAN-B;00SGNS0EAVG-9XX_1;CARRY OVER - INSTITUTIONAL LOGO MOHICAN;R$ 895,00;ALGODÃO; 
S-CLES-D;00SGW40CAYG-100_2;SEASONAL - VISUAL EYES OPTICAL ILLUSION;R$ 595,00;ALGODÃO 12oz.; 
S-CLES-D;00SGW40CAYG-9XX_2;SEASONAL - VISUAL EYES OPTICAL ILLUSION;R$ 595,00;ALGODÃO; 
D-KURTIS;00SGXU0LAWZ-101_7;SEASONAL - WORKEA-RR SECOND LIFE ;R$ 1.695,00;ALGODÃO; 
S-BILL;00SHYK0DAUU-100_2;CARRY OVER - INSTITUTIONAL LOGO MOHICAN;R$ 595,00;; 
S-BILL;00SHYK0DAUU-900_2;CARRY OVER - INSTITUTIONAL LOGO MOHICAN;R$ 595,00;ALGODÃO; 
CATEGORIA;MALHAS_MALE;DETALHE 1;#N/D;ALGODÃO; 
K-OCCHY;00S4EU0PAYQ-9XX_2;VISUAL EYES SUPER VISION - SEASONAL GRAPHICS;R$ 995,00;ALGODÃO COM INTARSIA JACQUARD; 
K-KAOSS;00SHEW0WAWS-9XX_2;VISUAL EYES PSY-DIE - SEASONAL GRAPHICS;R$ 1.195,00;ALGODÃO; 
K-INTARY;00SHF00AAYU-9XX_2;WORKEA-RR - SEASONAL LOGO;R$ 995,00;ALGODÃO; 
K-SLASSH;00SHF10BAYQ-9XX_2;WORKEA-RR -INSTITUTIONAL LOGO;R$ 795,00;; 
K-CONNET;00SHFH0BAYR-9XX_2;WORKEA-RR - ARMY OF ME - SEASONAL LOGO;R$ 1.195,00;ALGODÃO FLEECE; 
CATEGORIA;MOLETONS_MALE;DETALHE 1;#N/D;ALGODÃO FLEECE; 
S-GIRK-HOOD;00SAUN0IAJH-100_2;WORKEA-RR - ARMY OF ME - SEASONAL LOGO;R$ 695,00;ALGODÃO FLEECE; 
S-GIRK-HOOD;00SAUN0IAJH-38L_2;WORKEA-RR - ARMY OF ME - SEASONAL LOGO;R$ 695,00;ALGODÃO FLEECE; 
S-GIRK-HOOD;00SAUN0IAJH-8II_1;WORKEA-RR - ARMY OF ME - SEASONAL LOGO;R$ 695,00;ALGODÃO FLEECE; 
S-GIRK-HOOD;00SAUN0IAJH-900_1;WORKEA-RR - ARMY OF ME - SEASONAL LOGO;R$ 695,00;ALGODÃO FLEECE; 
S-GIRK-J3;00SDPY0IAJH-100_1;WORKEA-RR - ARMY OF ME - SEASONAL LOGO;R$ 555,00;ALGODÃO FLEECE; 
S-GIRK-J3;00SDPY0IAJH-38L_1;WORKEA-RR - ARMY OF ME - SEASONAL LOGO;R$ 555,00;ALGODÃO FLEECE; 
